pedal_name,condition,price,date,expiration_date
Line 6 HX Stomp,,450.0,2025-07-24,2026-07-24
Light Pink Keeley Katana,,120.0,2025-07-24,2026-07-24
JET Micro,,70.0,2025-07-24,2026-07-24
Dunlop Volume Mini,,90.0,2025-07-24,2026-07-24
Ibanez TS9DX Turbo Tube Screamer,,70.0,2025-07-24,2026-07-24
Boss CE-2w,,170.0,2025-07-24,2026-07-24
Danelectro Spring King Reverb,,140.0,2025-07-24,2026-07-24
Demonfx King of Drive,,30.0,2025-07-24,2026-07-24
Dunlop Cry Baby Standard Wah,,40.0,2025-07-24,2026-07-24
tc electronic Ditto Looper,,40.0,2025-07-24,2026-07-24
DigiTech Vocalist Live 2,,100.0,2025-07-24,2026-07-24
BC Soul Vibe,,50.0,2025-07-24,2026-07-24
walrus audio julia,,130.0,2025-07-24,2026-07-24
eqd plumes,,70.0,2025-07-24,2026-07-24
mr black eterna,,110.0,2025-07-24,2026-07-24
behringer echo machine em600,,20.0,2025-07-24,2026-07-24
wampler belle,,95.0,2025-07-24,2026-07-24
tc hyper gravity,,60.0,2025-07-24,2026-07-24
"Quilter SuperBlock US, original box, power supply, manual",,220.0,2025-07-24,2026-07-24
Keeley Katana clean boost pedal mini,,60.0,2025-07-24,2026-07-24
Mooer Baby Bomb 30 watt power amp,,60.0,2025-07-24,2026-07-24
JHS Colourbox V2,,330.0,2025-07-24,2026-07-24
Boss Ds-1,,40.0,2025-07-24,2026-07-24
MXR Blue Box,,50.0,2025-07-24,2026-07-24
Digitech Bass Synth Wah,,180.0,2025-07-24,2026-07-24
Boss MT-2W,,100.0,2025-07-24,2026-07-24
Guitar Xciter,,70.0,2025-07-24,2026-07-24
Boss CE-20,,100.0,2025-07-24,2026-07-24
Fulltone Deja Vibe CS-MDV mkII,Excellent Condition,210.0,2025-07-24,2026-07-24
Fulltone Deja Vibe CS-MDV mkII,Excellent Condition,200.0,2025-07-24,2026-07-24
Fulltone Supa-Trem V1 doesn't have the volume trim pot,Very Good Condition,90.0,2025-07-24,2026-07-24
Fulltone Supa-Trem V1 doesn't have the volume trim pot,Very Good Condition,265.0,2025-07-24,2026-07-24
Fulltone Octafuzz,Very Good Condition,110.0,2025-07-24,2026-07-24
Fulltone Octafuzz,Very Good Condition,1130.0,2025-07-24,2026-07-24
Kelly Hydra,Very Good Condition,150.0,2025-07-24,2026-07-24
Kelly Hydra,Very Good Condition,848.0,2025-07-24,2026-07-24
Subdecay Proteus,Excellent Condition,120.0,2025-07-24,2026-07-24
Electronica FL-01 Flanger,,100.0,2025-07-24,2026-07-24
dunlop cry baby bass mini,,80.0,2025-07-24,2026-07-24
fish delay reverb,,80.0,2025-07-24,2026-07-24
vox wah,,50.0,2025-07-24,2026-07-24
ehx dmm big box,,560.0,2025-07-24,2026-07-24
Hohner Tri Dirty Booster,,1300.0,2025-07-24,2026-07-24
ehx black russian big muff,,160.0,2025-07-24,2026-07-24
Moog Minifooger MF Drive 2013 - Black,,270.0,2025-07-24,2026-07-24
MXR M83 Bass Chorus Deluxe 2012 - Present - Teal,,105.0,2025-07-24,2026-07-24
TC Electronic TC XII B/K Programmable Phaser 2000s - Black,,200.0,2025-07-24,2026-07-24
MXR CSP210 Sub Machine Octave Fuzz 2010s - Purple,,100.0,2025-07-24,2026-07-24
EarthQuaker Devices Hoof Reaper Double Fuzz with Octave Up 2011 - 2018 - Various,,170.0,2025-07-24,2026-07-24
EarthQuaker Devices Sea Machine Super Chorus V2,,100.0,2025-07-24,2026-07-24
Way Huge WHE707 Supa-Puss Analog Delay 2013 - 2021 - Blue,,140.0,2025-07-24,2026-07-24
Boss BF-2B Bass Flanger 1986 - 1988 - Brown,,100.0,2025-07-24,2026-07-24
